DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3
1527465600.0,1.0,452.0,4.0,5.0,2.0
1527465600.0,0.0,837.0,8.0,3.0,7.0
1527465600.0,2.0,173.0,1.0,7.0,3.0
1527552000.0,0.0,11.0,0.0,1.0,1.0
1527552000.0,1.0,195.0,1.0,9.0,5.0
1527552000.0,2.0,174.0,1.0,7.0,4.0
1527638400.0,1.0,185.0,1.0,8.0,5.0
1527638400.0,2.0,180.0,1.0,8.0,0.0
1527638400.0,0.0,16.0,0.0,1.0,6.0
1527724800.0,0.0,482.0,4.0,8.0,2.0
1527724800.0,1.0,330.0,3.0,3.0,0.0
1527724800.0,2.0,29.0,0.0,2.0,9.0
1527811200.0,0.0,159.0,1.0,5.0,9.0
1527811200.0,1.0,229.0,2.0,2.0,9.0
1527811200.0,2.0,854.0,8.0,5.0,4.0
1527897600.0,1.0,757.0,7.0,5.0,7.0
1527897600.0,0.0,136.0,1.0,3.0,6.0
1527897600.0,2.0,871.0,8.0,7.0,1.0
1527984000.0,1.0,694.0,6.0,9.0,4.0
1527984000.0,2.0,694.0,6.0,9.0,4.0
1527984000.0,0.0,195.0,1.0,9.0,5.0
1528070400.0,2.0,289.0,2.0,8.0,9.0
1528070400.0,1.0,687.0,6.0,8.0,7.0
1528070400.0,0.0,129.0,1.0,2.0,9.0
1528156800.0,2.0,870.0,8.0,7.0,0.0
1528156800.0,1.0,895.0,8.0,9.0,5.0
1528156800.0,0.0,624.0,6.0,2.0,4.0
1528243200.0,1.0,112.0,1.0,1.0,2.0
1528243200.0,0.0,368.0,3.0,6.0,8.0
1528243200.0,2.0,736.0,7.0,3.0,6.0
1528329600.0,0.0,296.0,2.0,9.0,6.0
1528329600.0,1.0,899.0,8.0,9.0,9.0
1528329600.0,2.0,645.0,6.0,4.0,5.0
1528416000.0,0.0,462.0,4.0,6.0,2.0
1528416000.0,1.0,808.0,8.0,0.0,8.0
1528416000.0,2.0,630.0,6.0,3.0,0.0
1528502400.0,0.0,28.0,0.0,2.0,8.0
1528502400.0,2.0,217.0,2.0,1.0,7.0
1528502400.0,1.0,124.0,1.0,2.0,4.0
1528588800.0,0.0,312.0,3.0,1.0,2.0
1528588800.0,2.0,225.0,2.0,2.0,5.0
1528588800.0,1.0,919.0,9.0,1.0,9.0
1528675200.0,2.0,728.0,7.0,2.0,8.0
1528675200.0,1.0,937.0,9.0,3.0,7.0
1528675200.0,0.0,778.0,7.0,7.0,8.0
1528761600.0,1.0,499.0,4.0,9.0,9.0
1528761600.0,2.0,732.0,7.0,3.0,2.0
1528761600.0,0.0,415.0,4.0,1.0,5.0
1528848000.0,2.0,707.0,7.0,0.0,7.0
1528848000.0,1.0,436.0,4.0,3.0,6.0
1528848000.0,0.0,888.0,8.0,8.0,8.0
1528934400.0,2.0,975.0,9.0,7.0,5.0
1528934400.0,1.0,373.0,3.0,7.0,3.0
1528934400.0,0.0,358.0,3.0,5.0,8.0
1529020800.0,1.0,495.0,4.0,9.0,5.0
1529020800.0,0.0,567.0,5.0,6.0,7.0
1529020800.0,2.0,955.0,9.0,5.0,5.0
1529107200.0,2.0,392.0,3.0,9.0,2.0
1529107200.0,0.0,268.0,2.0,6.0,8.0
1529107200.0,1.0,935.0,9.0,3.0,5.0
1529193600.0,2.0,313.0,3.0,1.0,3.0
1529193600.0,1.0,736.0,7.0,3.0,6.0
1529193600.0,0.0,699.0,6.0,9.0,9.0
1529280000.0,2.0,53.0,0.0,5.0,3.0
1529280000.0,1.0,935.0,9.0,3.0,5.0
1529280000.0,0.0,846.0,8.0,4.0,6.0
1529366400.0,1.0,236.0,2.0,3.0,6.0
1529366400.0,2.0,109.0,1.0,0.0,9.0
1529366400.0,0.0,480.0,4.0,8.0,0.0
1529452800.0,1.0,277.0,2.0,7.0,7.0
1529452800.0,0.0,573.0,5.0,7.0,3.0
