DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3,winning_number_lag_1,winning_number_lag_2,winning_number_lag_3,winning_number_lag_4,winning_number_lag_5,winning_number_lag_6,winning_number_lag_7,winning_number_lag_8,winning_number_lag_9,winning_number_lag_10,winning_digit_1_lag_1,winning_digit_2_lag_1,winning_digit_3_lag_1,winning_digit_1_lag_2,winning_digit_2_lag_2,winning_digit_3_lag_2,winning_digit_1_lag_3,winning_digit_2_lag_3,winning_digit_3_lag_3,winning_digit_1_lag_4,winning_digit_2_lag_4,winning_digit_3_lag_4,winning_digit_1_lag_5,winning_digit_2_lag_5,winning_digit_3_lag_5,winning_digit_1_lag_6,winning_digit_2_lag_6,winning_digit_3_lag_6,winning_digit_1_lag_7,winning_digit_2_lag_7,winning_digit_3_lag_7,winning_digit_1_lag_8,winning_digit_2_lag_8,winning_digit_3_lag_8,winning_digit_1_lag_9,winning_digit_2_lag_9,winning_digit_3_lag_9,winning_digit_1_lag_10,winning_digit_2_lag_10,winning_digit_3_lag_10
1.3868064e+18,1.0,805.0,8.0,0.0,5.0,951.0,989.0,106.0,535.0,55.0,179.0,727.0,813.0,615.0,574.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0
1.3868064e+18,0.0,241.0,2.0,4.0,1.0,805.0,951.0,989.0,106.0,535.0,55.0,179.0,727.0,813.0,615.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0
1.3868928e+18,1.0,175.0,1.0,7.0,5.0,241.0,805.0,951.0,989.0,106.0,535.0,55.0,179.0,727.0,813.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0
1.3868928e+18,0.0,401.0,4.0,0.0,1.0,175.0,241.0,805.0,951.0,989.0,106.0,535.0,55.0,179.0,727.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0
1.3869792e+18,1.0,57.0,0.0,5.0,7.0,401.0,175.0,241.0,805.0,951.0,989.0,106.0,535.0,55.0,179.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0
1.3869792e+18,0.0,961.0,9.0,6.0,1.0,57.0,401.0,175.0,241.0,805.0,951.0,989.0,106.0,535.0,55.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0
1.3870656e+18,1.0,176.0,1.0,7.0,6.0,961.0,57.0,401.0,175.0,241.0,805.0,951.0,989.0,106.0,535.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0
1.3870656e+18,0.0,508.0,5.0,0.0,8.0,176.0,961.0,57.0,401.0,175.0,241.0,805.0,951.0,989.0,106.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0,1.0,0.0,6.0
1.387152e+18,1.0,942.0,9.0,4.0,2.0,508.0,176.0,961.0,57.0,401.0,175.0,241.0,805.0,951.0,989.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0,9.0,8.0,9.0
1.387152e+18,0.0,652.0,6.0,5.0,2.0,942.0,508.0,176.0,961.0,57.0,401.0,175.0,241.0,805.0,951.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0,9.0,5.0,1.0
1.3872384e+18,1.0,309.0,3.0,0.0,9.0,652.0,942.0,508.0,176.0,961.0,57.0,401.0,175.0,241.0,805.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0,8.0,0.0,5.0
1.3872384e+18,0.0,463.0,4.0,6.0,3.0,309.0,652.0,942.0,508.0,176.0,961.0,57.0,401.0,175.0,241.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0,2.0,4.0,1.0
1.3873248e+18,1.0,324.0,3.0,2.0,4.0,463.0,309.0,652.0,942.0,508.0,176.0,961.0,57.0,401.0,175.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,7.0,5.0
1.3873248e+18,0.0,992.0,9.0,9.0,2.0,324.0,463.0,309.0,652.0,942.0,508.0,176.0,961.0,57.0,401.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0
1.3874112e+18,1.0,818.0,8.0,1.0,8.0,992.0,324.0,463.0,309.0,652.0,942.0,508.0,176.0,961.0,57.0,9.0,9.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0,0.0,5.0,7.0
1.3874112e+18,0.0,639.0,6.0,3.0,9.0,818.0,992.0,324.0,463.0,309.0,652.0,942.0,508.0,176.0,961.0,8.0,1.0,8.0,9.0,9.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0,9.0,6.0,1.0
1.3874976e+18,1.0,69.0,0.0,6.0,9.0,639.0,818.0,992.0,324.0,463.0,309.0,652.0,942.0,508.0,176.0,6.0,3.0,9.0,8.0,1.0,8.0,9.0,9.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0,1.0,7.0,6.0
1.3874976e+18,0.0,995.0,9.0,9.0,5.0,69.0,639.0,818.0,992.0,324.0,463.0,309.0,652.0,942.0,508.0,0.0,6.0,9.0,6.0,3.0,9.0,8.0,1.0,8.0,9.0,9.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0,5.0,0.0,8.0
1.387584e+18,1.0,593.0,5.0,9.0,3.0,995.0,69.0,639.0,818.0,992.0,324.0,463.0,309.0,652.0,942.0,9.0,9.0,5.0,0.0,6.0,9.0,6.0,3.0,9.0,8.0,1.0,8.0,9.0,9.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0,9.0,4.0,2.0
1.387584e+18,0.0,577.0,5.0,7.0,7.0,593.0,995.0,69.0,639.0,818.0,992.0,324.0,463.0,309.0,652.0,5.0,9.0,3.0,9.0,9.0,5.0,0.0,6.0,9.0,6.0,3.0,9.0,8.0,1.0,8.0,9.0,9.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0,6.0,5.0,2.0
1.3876704e+18,1.0,921.0,9.0,2.0,1.0,577.0,593.0,995.0,69.0,639.0,818.0,992.0,324.0,463.0,309.0,5.0,7.0,7.0,5.0,9.0,3.0,9.0,9.0,5.0,0.0,6.0,9.0,6.0,3.0,9.0,8.0,1.0,8.0,9.0,9.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,0.0,9.0
