DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/13/2021,MIDDAY,0 7 3,"1,732","$136,836"
05/12/2021,NIGHT,3 3 9,607,"$117,530"
05/12/2021,EVENING,1 3 8,"3,699","$391,832"
05/12/2021,MIDDAY,6 3 4,"1,613","$161,610"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/11/2021,NIGHT,0 2 6,"1,439","$114,083"
05/11/2021,EVENING,4 2 5,"3,505","$490,568"
05/11/2021,MIDDAY,6 1 3,"6,700","$1,000,164"
05/10/2021,NIGHT,3 6 6,467,"$76,313"
05/10/2021,EVENING,4 2 6,"2,892","$400,478"
05/10/2021,MIDDAY,5 0 1,"4,513","$461,015"
05/09/2021,NIGHT,5 2 1,"2,271","$280,784"
05/09/2021,EVENING,3 7 8,"1,137","$132,258"
05/09/2021,MIDDAY,4 3 5,"3,010","$343,560"
05/08/2021,NIGHT,0 8 1,"2,129","$158,105"
05/08/2021,EVENING,2 6 3,"2,431","$207,919"
05/08/2021,MIDDAY,9 5 3,"1,411","$167,861"
05/07/2021,NIGHT,9 0 8,"1,407","$162,771"
05/07/2021,EVENING,0 5 3,"2,239","$151,121"
05/07/2021,MIDDAY,8 9 0,"1,764","$152,063"
05/06/2021,NIGHT,5 6 0,"1,839","$202,697"
05/06/2021,EVENING,1 9 3,"2,158","$203,983"
05/06/2021,MIDDAY,7 0 6,"1,853","$285,162"
05/05/2021,NIGHT,7 4 5,824,"$81,818"
05/05/2021,EVENING,4 4 3,"1,409","$247,509"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
02/24/2023,MIDDAY,0 9 6,"2,008","$140,711"
02/23/2023,NIGHT,2 4 2,"2,520","$372,296"
02/23/2023,EVENING,0 6 0,964,"$126,974"
02/23/2023,MIDDAY,2 4 5,"2,710","$245,871"
02/22/2023,NIGHT,1 9 6,"1,219","$89,855"
02/22/2023,EVENING,1 6 8,"1,813","$159,824"
02/22/2023,MIDDAY,3 8 5,"1,137","$96,924"
02/21/2023,NIGHT,4 0 6,862,"$81,570"
02/21/2023,EVENING,4 2 3,"3,493","$391,762"
02/21/2023,MIDDAY,0 3 8,"1,394","$91,447"
02/20/2023,NIGHT,4 5 7,827,"$75,657"
02/20/2023,EVENING,8 5 3,"1,109","$86,537"
02/20/2023,MIDDAY,5 4 7,"1,361","$146,158"
02/19/2023,NIGHT,0 0 5,948,"$129,416"
02/19/2023,EVENING,3 1 1,"4,476","$761,499"
02/19/2023,MIDDAY,8 9 0,"2,149","$194,845"
02/18/2023,NIGHT,5 3 8,857,"$70,754"
02/18/2023,EVENING,7 7 9,803,"$94,507"
02/18/2023,MIDDAY,5 6 6,"1,082","$144,395"
02/17/2023,NIGHT,6 9 9,581,"$77,406"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/05/2021,MIDDAY,0 7 9,"1,224","$96,730"
05/04/2021,NIGHT,7 3 1,"3,023","$392,506"
05/04/2021,EVENING,7 8 8,"1,074","$150,969"
05/04/2021,MIDDAY,0 6 3,"2,014","$163,503"
05/03/2021,NIGHT,3 3 6,547,"$99,435"
05/03/2021,EVENING,2 7 1,"5,931","$485,151"
05/03/2021,MIDDAY,5 6 8,"1,206","$115,567"
05/02/2021,NIGHT,2 6 7,"1,350","$126,434"
05/02/2021,EVENING,6 2 5,"2,208","$316,560"
05/02/2021,MIDDAY,7 9 8,"3,538","$349,424"
05/01/2021,NIGHT,0 3 9,"1,444","$140,878"
05/01/2021,EVENING,2 4 6,"3,931","$531,113"
05/01/2021,MIDDAY,6 5 8,"1,283","$125,071"
04/30/2021,NIGHT,7 3 8,"1,017","$108,753"
04/30/2021,EVENING,0 6 1,"3,161","$234,692"
04/30/2021,MIDDAY,9 0 7,"2,033","$258,402"
04/29/2021,NIGHT,5 2 6,"1,783","$249,479"
04/29/2021,EVENING,4 4 1,"3,453","$744,029"
04/29/2021,MIDDAY,2 0 4,"2,146","$247,519"
04/28/2021,NIGHT,9 6 6,467,"$81,207"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/28/2021,EVENING,1 6 5,"2,168","$200,610"
04/28/2021,MIDDAY,7 5 8,"1,369","$142,905"
04/27/2021,NIGHT,0 5 1,"2,415","$209,640"
04/27/2021,EVENING,3 6 3,854,"$132,615"
04/27/2021,MIDDAY,2 2 6,"2,030","$438,028"
04/26/2021,NIGHT,6 8 2,"1,946","$208,356"
04/26/2021,EVENING,0 9 4,"1,617","$114,383"
04/26/2021,MIDDAY,0 8 8,"2,040","$336,605"
04/25/2021,NIGHT,6 4 1,"1,765","$162,209"
04/25/2021,EVENING,1 4 5,"2,723","$279,459"
04/25/2021,MIDDAY,0 1 9,"2,969","$217,738"
04/24/2021,NIGHT,0 8 3,"1,295","$100,524"
04/24/2021,EVENING,6 0 8,"1,695","$236,043"
04/24/2021,MIDDAY,8 7 0,"1,481","$119,515"
04/23/2021,NIGHT,4 3 3,908,"$120,513"
04/23/2021,EVENING,3 2 2,"2,402","$381,528"
04/23/2021,MIDDAY,8 0 9,"2,410","$297,031"
04/22/2021,NIGHT,9 0 8,"1,555","$176,701"
04/22/2021,EVENING,6 6 9,975,"$167,186"
04/22/2021,MIDDAY,8 4 3,"1,362","$151,199"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
